,0
0,-95.14499151171185
1,-2510.1851717976388
2,-4890.453349809861
3,-3018.142012474127
4,1392.1247259690426
5,2142.5748052031267
6,-9993.260755659197
7,5885.419638773543
8,-13924.539554991177
9,3217.791133190389
10,-10251.584410346346
11,4001.639416785445
12,14813.56997911632
13,-10869.994689018233
14,14531.122148923809
15,-11580.893869928084
16,8014.192307194346
17,25977.94854448375
18,-626.2437013280578
19,-22897.455656737555
20,3349.8874553714413
21,5470.725445636781
22,-16794.39208598074
23,-15139.071255421964
24,177.33503669616766
25,-3471.8421304294607
26,-19701.491450947244
27,19208.414625733043
28,15682.693003448308
29,13351.774782973574
30,-3990.156501131947
31,-3789.3271954458905
32,15025.334003031836
33,-12845.038024786045
34,442.2150450833142
35,12808.103955793427
36,275.9446104527451
37,-7519.076572023565
38,21652.607975425315
39,-111.76775770168751
40,-792.8580334674334
41,3784.566350533976
42,1432.7227840132546
43,-5166.880835109274
44,1388.9863382120384
45,808.2793967124308
46,15700.556702420581
47,3787.1020185480593
48,-134.76162857189775
49,2616.09589600435
50,9842.46752709127
51,14941.075409300858
52,3244.146335011814
53,-2154.391697678715
54,-3867.4444647415075
55,-5499.240096982801
56,-1109.096526019508
57,4226.139835754875
58,950.4930816995911
59,-5653.5384547894355
60,7601.155859805411
61,-4189.656051055295
